C,gamma,Accuracy,,C,gamma,Accuracy
0.01,0.005102041,0.535441101,,10,3.05E-05,0.603773585
0.1,0.005102041,0.648648649,,10,0.00012207,0.710351861
1,0.005102041,0.725140235,,10,0.000488281,0.725140235
10,0.005102041,0.740948496,,10,0.001953125,0.734319225
100,0.005102041,0.749617542,,10,0.0078125,0.747067823
1000,0.005102041,0.710861805,,10,0.03125,0.749107598
10000,0.005102041,0.703722591,,10,0.125,0.74808771
0.01,0.005102041,0.546149924,,10,0.5,0.569097399
0.1,0.005102041,0.658337583,,10,2,0.553799082
1,0.005102041,0.718510964,,10,8,0.553289138
10,0.005102041,0.740438552,,10,3.05E-05,0.612442631
100,0.005102041,0.75063743,,10,0.00012207,0.709331973
1000,0.005102041,0.710861805,,10,0.000488281,0.716471188
10000,0.005102041,0.6945436,,10,0.001953125,0.730239674
0.01,0.005102041,0.547679755,,10,0.0078125,0.75063743
0.1,0.005102041,0.637939827,,10,0.03125,0.744008159
1,0.005102041,0.699133095,,10,0.125,0.752677206
10,0.005102041,0.734319225,,10,0.5,0.591534931
100,0.005102041,0.739418664,,10,2,0.566037736
1000,0.005102041,0.700152983,,10,8,0.562468129
10000,0.005102041,0.703212647,,10,3.05E-05,0.607853136
0.01,0.005102041,0.546659867,,10,0.00012207,0.683324834
0.1,0.005102041,0.649668536,,10,0.000488281,0.694033656
1,0.005102041,0.728199898,,10,0.001953125,0.716981132
10,0.005102041,0.754716981,,10,0.0078125,0.744008159
100,0.005102041,0.757776645,,10,0.03125,0.742478327
1000,0.005102041,0.725140235,,10,0.125,0.742478327
10000,0.005102041,0.716471188,,10,0.5,0.58745538
0.01,0.005102041,0.523712392,,10,2,0.566037736
0.1,0.005102041,0.651198368,,10,8,0.564507904
1,0.005102041,0.710861805,,10,3.05E-05,0.619071902
10,0.005102041,0.73890872,,10,0.00012207,0.713921469
100,0.005102041,0.729219786,,10,0.000488281,0.725140235
1000,0.005102041,0.698113208,,10,0.001953125,0.746557879
10000,0.005102041,0.685874554,,10,0.0078125,0.758286588
,,,,10,0.03125,0.747577766
,,,,10,0.125,0.751147374
,,,,10,0.5,0.58490566
,,,,10,2,0.570627231
,,,,10,8,0.570117287
,,,,10,3.05E-05,0.618052014
,,,,10,0.00012207,0.697603264
,,,,10,0.000488281,0.708312086
,,,,10,0.001953125,0.726670066
,,,,10,0.0078125,0.746557879
,,,,10,0.03125,0.721570627
,,,,10,0.125,0.734829169
,,,,10,0.5,0.56399796
,,,,10,2,0.536970933
,,,,10,8,0.535951045
