C,gamma,Accuracy
50,0.00510204081632653,0.76430976430976427
100,0.00510204081632653,0.76805087916199022
200,0.00510204081632653,0.76805087916199022
300,0.00510204081632653,0.7702955480733259
400,0.00510204081632653,0.77328843995510665
500,0.00510204081632653,0.77422371866816309
1,0.005,0.73213617658062102
1,0.007813,0.73943135054246167
1,0.01,0.74317246539468762
1,0.02,0.74915824915824913
1,0.03,0.75757575757575757
50,0.00510204081632653,0.7482229704451927
100,0.00510204081632653,0.75645342312008979
200,0.00510204081632653,0.76038159371492708
300,0.00510204081632653,0.76131687242798352
400,0.00510204081632653,0.76468387579498687
500,0.00510204081632653,0.76430976430976427
1,0.005,0.71717171717171713
1,0.007813,0.72166105499438837
1,0.01,0.7268986157875047
1,0.02,0.74017957351290686
1,0.03,0.74579124579124578
50,0.00510204081632653,0.76300037411148525
100,0.00510204081632653,0.76823793490460157
200,0.00510204081632653,0.76786382341937898
300,0.00510204081632653,0.76748971193415638
400,0.00510204081632653,0.76917321361765811
500,0.00510204081632653,0.77123082678638233
1,0.005,0.73063973063973064
1,0.007813,0.73830901608679389
1,0.01,0.74055368499812946
1,0.02,0.7514029180695847
1,0.03,0.75738870183314633
50,0.00510204081632653,0.75289936401047508
100,0.00510204081632653,0.75851103628881411
200,0.00510204081632653,0.75982042648709314
300,0.00510204081632653,0.76356154133931908
400,0.00510204081632653,0.76393565282454168
500,0.00510204081632653,0.76449682005237563
1,0.005,0.71567527123082675
1,0.007813,0.72371866816311259
1,0.01,0.72802095024317248
1,0.02,0.73681257014590351
1,0.03,0.74448185559296676
50,0.00510204081632653,0.7482229704451927
100,0.00510204081632653,0.75701459034792373
200,0.00510204081632653,0.76300037411148525
300,0.00510204081632653,0.76430976430976427
400,0.00510204081632653,0.765993265993266
500,0.00510204081632653,0.76561915450804341
1,0.005,0.7158623269734381
1,0.007813,0.72409277964833518
1,0.01,0.72615039281705951
1,0.02,0.73849607182940513
1,0.03,0.74635241301907973
